"Sex","DateTime","state_manual","BirdID"
"F","01/03/2013 23:33","Travel",201314
"F","01/03/2013 23:48","Travel",201314
"F","02/03/2013 00:03","Travel",201314
"F","02/03/2013 00:18","Travel",201314
"F","02/03/2013 00:33","Travel",201314
"F","02/03/2013 00:48","Search",201314
"F","02/03/2013 01:03","Search",201314
"F","02/03/2013 01:18","Search",201314
"F","02/03/2013 01:33","Travel",201314
"F","02/03/2013 01:48","Travel",201314
"F","02/03/2013 02:03","Travel",201314
"F","02/03/2013 02:18","Search",201314
"F","02/03/2013 02:33","Search",201314
"F","02/03/2013 02:48","Search",201314
"F","02/03/2013 03:03","Search",201314
"F","02/03/2013 03:18","Travel",201314
"F","02/03/2013 03:33","Travel",201314
"F","02/03/2013 03:48","Travel",201314
"F","02/03/2013 04:03","Search",201314
"F","02/03/2013 04:18","Travel",201314
"F","02/03/2013 04:33","Travel",201314
"F","02/03/2013 04:48","Travel",201314
"F","02/03/2013 05:03","Travel",201314
"F","02/03/2013 05:18","Travel",201314
"F","02/03/2013 05:33","Travel",201314
"F","02/03/2013 05:48","Travel",201314
"F","02/03/2013 06:03","Travel",201314
"F","02/03/2013 06:18","Travel",201314
"F","02/03/2013 06:33","Travel",201314
"F","02/03/2013 06:48","Travel",201314
"F","02/03/2013 07:03","Travel",201314
"F","02/03/2013 07:18","Rest",201314
"F","02/03/2013 07:33","Rest",201314
"F","02/03/2013 07:48","Rest",201314
"F","02/03/2013 08:03","Rest",201314
"F","02/03/2013 08:18","Rest",201314
"F","02/03/2013 08:33","Rest",201314
"F","02/03/2013 08:48","Rest",201314
"F","02/03/2013 09:03","Rest",201314
"F","02/03/2013 09:18","Rest",201314
"F","02/03/2013 09:33","Rest",201314
"F","02/03/2013 09:48","Rest",201314
"F","02/03/2013 10:03","Rest",201314
"F","02/03/2013 10:18","Rest",201314
"F","02/03/2013 10:33","Rest",201314
"F","02/03/2013 10:48","Rest",201314
"F","02/03/2013 11:03","Rest",201314
"F","02/03/2013 11:18","Rest",201314
"F","02/03/2013 11:33","Rest",201314
"F","02/03/2013 11:48","Travel",201314
"F","02/03/2013 12:03","Travel",201314
"F","02/03/2013 12:18","Travel",201314
"F","02/03/2013 12:33","Travel",201314
"F","02/03/2013 12:48","Travel",201314
"F","02/03/2013 13:03","Travel",201314
"F","02/03/2013 13:18","Travel",201314
"F","02/03/2013 13:33","Search",201314
"F","02/03/2013 13:48","Rest",201314
"F","02/03/2013 14:03","Rest",201314
"F","02/03/2013 14:18","Travel",201314
"F","02/03/2013 14:33","Travel",201314
"F","02/03/2013 14:48","Travel",201314
"F","02/03/2013 15:03","Search",201314
"F","02/03/2013 15:18","Rest",201314
"F","02/03/2013 15:33","Rest",201314
"F","02/03/2013 15:48","Rest",201314
"F","02/03/2013 16:03","Rest",201314
"F","02/03/2013 16:18","Rest",201314
"F","02/03/2013 16:33","Rest",201314
"F","02/03/2013 16:48","Rest",201314
"F","02/03/2013 17:03","Rest",201314
"F","02/03/2013 17:18","Rest",201314
"F","02/03/2013 17:33","Rest",201314
"F","02/03/2013 17:48","Rest",201314
"F","02/03/2013 18:03","Rest",201314
"F","02/03/2013 18:18","Rest",201314
"F","02/03/2013 18:33","Rest",201314
"F","02/03/2013 18:48","Travel",201314
"F","02/03/2013 19:03","Travel",201314
"F","02/03/2013 19:18","Travel",201314
"F","02/03/2013 19:33","Travel",201314
"F","02/03/2013 19:48","Travel",201314
"F","02/03/2013 20:03","Travel",201314
"F","02/03/2013 20:18","Search",201314
"F","02/03/2013 20:33","Travel",201314
"F","02/03/2013 20:48","Travel",201314
"F","02/03/2013 21:03","Search",201314
"F","02/03/2013 21:18","Travel",201314
"F","02/03/2013 21:33","Travel",201314
"F","02/03/2013 21:48","Travel",201314
"F","02/03/2013 22:03","Rest",201314
"F","02/03/2013 22:18","Rest",201314
"F","02/03/2013 22:33","Rest",201314
"F","02/03/2013 22:48","Rest",201314
"F","02/03/2013 23:03","Rest",201314
"F","02/03/2013 23:18","Rest",201314
"F","02/03/2013 23:33","Rest",201314
"F","02/03/2013 23:48","Rest",201314
"F","03/03/2013 00:03","Rest",201314
"F","03/03/2013 00:18","Rest",201314
"F","03/03/2013 00:33","Rest",201314
"F","03/03/2013 00:48","Rest",201314
"F","03/03/2013 01:03","Rest",201314
"F","03/03/2013 01:18","Rest",201314
"F","03/03/2013 01:33","Rest",201314
"F","03/03/2013 01:48","Rest",201314
"F","03/03/2013 02:03","Travel",201314
"F","03/03/2013 02:18","Travel",201314
"F","03/03/2013 02:33","Travel",201314
"F","03/03/2013 02:48","Travel",201314
"F","03/03/2013 03:03","Rest",201314
"F","03/03/2013 03:18","Rest",201314
"F","03/03/2013 03:33","Rest",201314
"F","03/03/2013 03:48","Rest",201314
"F","03/03/2013 04:03","Rest",201314
"F","03/03/2013 04:18","Travel",201314
"F","03/03/2013 04:33","Travel",201314
"F","03/03/2013 04:48","Travel",201314
"F","03/03/2013 05:03","Rest",201314
"F","03/03/2013 05:18","Rest",201314
"F","03/03/2013 05:33","Rest",201314
"F","03/03/2013 05:48","Rest",201314
"F","03/03/2013 06:03","Rest",201314
"F","03/03/2013 06:18","Rest",201314
"F","03/03/2013 06:33","Rest",201314
"F","03/03/2013 06:48","Rest",201314
"F","03/03/2013 07:03","Rest",201314
"F","03/03/2013 07:18","Travel",201314
"F","03/03/2013 07:33","Travel",201314
"F","03/03/2013 07:48","Travel",201314
"F","03/03/2013 08:03","Travel",201314
"F","03/03/2013 08:18","Travel",201314
"F","03/03/2013 08:33","Travel",201314
"F","03/03/2013 08:48","Travel",201314
"F","03/03/2013 09:03","Travel",201314
"F","03/03/2013 09:18","Travel",201314
"F","03/03/2013 09:33","Travel",201314
"F","03/03/2013 09:48","Travel",201314
"M","12/02/2013 10:43","Travel",201313
"M","12/02/2013 10:58","Travel",201313
"M","12/02/2013 11:13","Travel",201313
"M","12/02/2013 11:28","Travel",201313
"M","12/02/2013 11:43","Search",201313
"M","12/02/2013 11:58","Travel",201313
"M","12/02/2013 12:13","Travel",201313
"M","12/02/2013 12:28","Travel",201313
"M","12/02/2013 12:43","Travel",201313
"M","12/02/2013 12:58","Travel",201313
"M","12/02/2013 13:13","Travel",201313
"M","12/02/2013 13:28","Search",201313
"M","12/02/2013 13:43","Search",201313
"M","12/02/2013 13:58","Travel",201313
"M","12/02/2013 14:13","Travel",201313
"M","12/02/2013 14:28","Search",201313
"M","12/02/2013 14:43","Search",201313
"M","12/02/2013 14:58","Travel",201313
"M","12/02/2013 15:13","Travel",201313
"M","12/02/2013 15:28","Travel",201313
"M","12/02/2013 15:43","Travel",201313
"M","12/02/2013 15:58","Travel",201313
"M","12/02/2013 16:13","Travel",201313
"M","12/02/2013 16:28","Travel",201313
"M","12/02/2013 16:43","Travel",201313
"M","12/02/2013 16:58","Rest",201313
"M","12/02/2013 17:13","Rest",201313
"M","12/02/2013 17:28","Rest",201313
"M","12/02/2013 17:43","Rest",201313
"M","12/02/2013 17:58","Rest",201313
"M","12/02/2013 18:13","Rest",201313
"M","12/02/2013 18:28","Rest",201313
"M","12/02/2013 18:43","Rest",201313
"M","12/02/2013 18:58","Search",201313
"M","12/02/2013 19:13","Search",201313
"M","12/02/2013 19:28","Search",201313
"M","12/02/2013 19:43","Search",201313
"M","12/02/2013 19:58","Search",201313
"M","12/02/2013 20:13","Search",201313
"M","12/02/2013 20:28","Search",201313
"M","12/02/2013 20:43","Travel",201313
"M","12/02/2013 20:58","Travel",201313
"M","12/02/2013 21:13","Travel",201313
"M","12/02/2013 21:28","Travel",201313
"M","12/02/2013 21:43","Travel",201313
"M","12/02/2013 21:58","Travel",201313
"M","12/02/2013 22:13","Rest",201313
"M","12/02/2013 22:28","Rest",201313
"M","12/02/2013 22:43","Travel",201313
"M","12/02/2013 22:58","Travel",201313
"M","12/02/2013 23:13","Travel",201313
"M","12/02/2013 23:28","Travel",201313
"M","12/02/2013 23:43","Travel",201313
"M","12/02/2013 23:58","Travel",201313
"M","13/02/2013 00:13","Travel",201313
"M","13/02/2013 00:28","Travel",201313
"M","13/02/2013 00:43","Travel",201313
"M","13/02/2013 00:58","Travel",201313
"M","13/02/2013 01:13","Travel",201313
"M","13/02/2013 01:28","Travel",201313
"M","13/02/2013 01:43","Travel",201313
"M","13/02/2013 01:58","Travel",201313
"M","13/02/2013 02:13","Travel",201313
"M","13/02/2013 02:28","Travel",201313
"M","13/02/2013 02:43","Travel",201313
"M","13/02/2013 02:58","Travel",201313
"M","13/02/2013 03:13","Travel",201313
"M","13/02/2013 03:28","Travel",201313
"M","13/02/2013 03:43","Travel",201313
"M","13/02/2013 03:58","Travel",201313
"M","13/02/2013 04:13","Travel",201313
"M","13/02/2013 04:28","Search",201313
"M","13/02/2013 04:43","Search",201313
"M","13/02/2013 04:58","Search",201313
"M","13/02/2013 05:13","Travel",201313
"M","13/02/2013 05:28","Travel",201313
"M","13/02/2013 05:43","Travel",201313
"M","13/02/2013 05:58","Travel",201313
"M","13/02/2013 06:13","Travel",201313
"M","13/02/2013 06:28","Travel",201313
"M","13/02/2013 06:43","Travel",201313
"M","13/02/2013 06:58","Travel",201313
"M","13/02/2013 07:13","Travel",201313
"M","13/02/2013 07:28","Travel",201313
"M","13/02/2013 07:43","Travel",201313
"M","13/02/2013 07:58","Travel",201313
"M","13/02/2013 08:13","Travel",201313
"M","13/02/2013 08:28","Travel",201313
"M","13/02/2013 08:43","Travel",201313
"M","13/02/2013 08:58","Travel",201313
"M","13/02/2013 09:13","Travel",201313
"M","13/02/2013 09:28","Travel",201313
"M","13/02/2013 09:43","Travel",201313
"M","13/02/2013 09:58","Search",201313
"M","13/02/2013 10:13","Search",201313
"M","13/02/2013 10:28","Search",201313
"M","13/02/2013 10:43","Search",201313
"M","13/02/2013 10:58","Search",201313
"M","13/02/2013 11:13","Search",201313
"M","13/02/2013 11:28","Travel",201313
"M","13/02/2013 11:43","Travel",201313
"M","13/02/2013 11:58","Travel",201313
"M","13/02/2013 12:13","Travel",201313
"M","13/02/2013 12:28","Travel",201313
"M","13/02/2013 12:43","Travel",201313
"M","13/02/2013 12:58","Travel",201313
"M","13/02/2013 13:13","Travel",201313
"M","13/02/2013 13:28","Travel",201313
"M","13/02/2013 13:43","Travel",201313
"M","13/02/2013 13:58","Travel",201313
"M","13/02/2013 14:13","Travel",201313
