"segment_ID","segment_n","abs_SPL_2000dB","abs_SPL_2000dB_std","birdID","TripID","Sex","x_lon","y_lat","State","Dist_cro_shelf","Trip_state","WindSp","relDir","pointID"
0,3,66.7144417413766,-0.539423344772886,"201301_Interp","201301.1","F",44.01753,-38.4576799924052,"Travel",919.2101,"mid",6.287056,141.99416,"201301.1.645"
0,4,66.1432629748012,-0.91824653873754,"201301_Interp","201301.1","F",44.01753,-38.4576799924052,"Travel",919.2101,"mid",6.287056,51.99416,"201301.1.645"
1,1,67.208624501631,-0.479991823999207,"201301_Interp","201301.1","F",44.53309,-38.6272699924899,"Travel",882.2407,"mid",8.350522,67.93616,"201301.1.666"
0,2,66.6792257039659,-0.811454086078936,"201301_Interp","201301.1","F",44.53309,-38.6272699924899,"Travel",882.2407,"mid",8.350522,157.93616,"201301.1.666"
0,3,67.7302250103282,-0.153412154235607,"201301_Interp","201301.1","F",44.53309,-38.6272699924899,"Travel",882.2407,"mid",8.350522,112.06384,"201301.1.666"
0,4,70.2829208337837,1.44485806431376,"201301_Interp","201301.1","F",44.53309,-38.6272699924899,"Travel",882.2407,"mid",8.350522,22.06384,"201301.1.666"
1,1,70.3537795819991,1.44707412409849,"201301_Interp","201301.1","F",44.76381,-39.1128799927304,"Travel",824.8844,"mid",8.024357,23.87235,"201301.1.674"
0,2,67.8457594056325,-0.172541428583904,"201301_Interp","201301.1","F",44.76381,-39.1128799927304,"Travel",824.8844,"mid",8.024357,113.87235,"201301.1.674"
0,3,66.8491341950513,-0.81613660635127,"201301_Interp","201301.1","F",44.76381,-39.1128799927304,"Travel",824.8844,"mid",8.024357,156.12765,"201301.1.674"
0,4,67.4031054344143,-0.458396089163329,"201301_Interp","201301.1","F",44.76381,-39.1128799927304,"Travel",824.8844,"mid",8.024357,66.12765,"201301.1.674"
1,1,67.967489648028,0.0485622455035527,"201301_Interp","201301.1","F",46.15479,-37.7762799920619,"Travel",917.9529,"mid",8.254017,73.09602,"201301.1.692"
0,2,70.0883671504464,1.28362153493384,"201301_Interp","201301.1","F",46.15479,-37.7762799920619,"Travel",917.9529,"mid",8.254017,163.09602,"201301.1.692"
0,3,67.5661440776685,-0.185154965593694,"201301_Interp","201301.1","F",46.15479,-37.7762799920619,"Travel",917.9529,"mid",8.254017,106.90398,"201301.1.692"
0,4,65.9143880652264,-1.1470288148437,"201301_Interp","201301.1","F",46.15479,-37.7762799920619,"Travel",917.9529,"mid",8.254017,16.90398,"201301.1.692"
1,1,66.474683205503,-0.661007007136657,"201301_Interp","201301.1","F",46.41262,-37.3220199918307,"Travel",958.7615,"mid",8.349335,97.72222,"201301.1.701"
0,2,70.1177325488693,1.24774628591779,"201301_Interp","201301.1","F",46.41262,-37.3220199918307,"Travel",958.7615,"mid",8.349335,172.27778,"201301.1.701"
0,3,68.4088959181942,0.352411845270568,"201301_Interp","201301.1","F",46.41262,-37.3220199918307,"Travel",958.7615,"mid",8.349335,82.27778,"201301.1.701"
0,4,65.943816934741,-0.93915112405171,"201301_Interp","201301.1","F",46.41262,-37.3220199918307,"Travel",958.7615,"mid",8.349335,7.72221999999999,"201301.1.701"
1,1,65.8347900687159,-0.830889913684566,"201301_Interp","201301.1","F",46.50974,-37.0391599916859,"Travel",986.3988,"mid",8.677873,92.52318,"201301.1.722"
0,2,69.9681504331571,1.25337561284989,"201301_Interp","201301.1","F",46.50974,-37.0391599916859,"Travel",986.3988,"mid",8.677873,177.47682,"201301.1.722"
0,3,68.1936829352192,0.358592407948325,"201301_Interp","201301.1","F",46.50974,-37.0391599916859,"Travel",986.3988,"mid",8.677873,87.47682,"201301.1.722"
0,4,65.9335731385025,-0.781078107113649,"201301_Interp","201301.1","F",46.50974,-37.0391599916859,"Travel",986.3988,"mid",8.677873,2.52318,"201301.1.722"
1,1,69.8004587106149,1.24311603579153,"201301_Interp","201301.1","F",46.68226,-36.7903499915582,"Travel",1008.871,"mid",8.964299,33.38933,"201301.1.727"
0,2,66.7598341397502,-0.340646960469404,"201301_Interp","201301.1","F",46.68226,-36.7903499915582,"Travel",1008.871,"mid",8.964299,123.38933,"201301.1.727"
0,3,65.2373579267404,-1.13365557848723,"201301_Interp","201301.1","F",46.68226,-36.7903499915582,"Travel",1008.871,"mid",8.964299,146.61067,"201301.1.727"
0,4,67.8576820400198,0.231186503165083,"201301_Interp","201301.1","F",46.68226,-36.7903499915582,"Travel",1008.871,"mid",8.964299,56.61067,"201301.1.727"
1,1,68.2097465840135,0.374003533041386,"201301_Interp","201301.1","F",47.15026,-37.3427499918413,"Travel",938.8608,"mid",5.252944,104.9019,"201301.1.736"
0,2,65.9743974975126,-0.768186812294649,"201301_Interp","201301.1","F",47.15026,-37.3427499918413,"Travel",938.8608,"mid",5.252944,165.0981,"201301.1.736"
0,3,65.8145082457739,-0.849884995706688,"201301_Interp","201301.1","F",47.15026,-37.3427499918413,"Travel",938.8608,"mid",5.252944,75.0981,"201301.1.736"
0,4,69.9125261898699,1.24406827495994,"201301_Interp","201301.1","F",47.15026,-37.3427499918413,"Travel",938.8608,"mid",5.252944,14.9019,"201301.1.736"
1,1,66.1709659917016,-0.97801991806009,"201301_Interp","201301.1","F",46.8235,-38.5889199924708,"Travel",813.442,"mid",5.923138,116.089,"201301.1.772"
0,2,66.6194320983375,-0.715839710360517,"201301_Interp","201301.1","F",46.8235,-38.5889199924708,"Travel",813.442,"mid",5.923138,153.911,"201301.1.772"
0,3,69.6682646707287,1.0665548680545,"201301_Interp","201301.1","F",46.8235,-38.5889199924708,"Travel",813.442,"mid",5.923138,63.911,"201301.1.772"
0,4,68.9169158661685,0.627304760366092,"201301_Interp","201301.1","F",46.8235,-38.5889199924708,"Travel",813.442,"mid",5.923138,26.089,"201301.1.772"
1,1,65.800688024068,-0.419280813658268,"201301_Interp","201301.1","F",45.32592,-38.7773499925646,"Travel",838.8213,"mid",4.686998,11.8939,"201301.1.830"
0,2,68.3913882308273,0.896920764479721,"201301_Interp","201301.1","F",45.32592,-38.7773499925646,"Travel",838.8213,"mid",4.686998,101.8939,"201301.1.830"
0,3,68.0772275514336,0.737311875373991,"201301_Interp","201301.1","F",45.32592,-38.7773499925646,"Travel",838.8213,"mid",4.686998,168.1061,"201301.1.830"
0,4,64.2345562924768,-1.21495182619545,"201301_Interp","201301.1","F",45.32592,-38.7773499925646,"Travel",838.8213,"mid",4.686998,78.1061,"201301.1.830"
1,1,66.7794713259896,-0.183361350415519,"201301_Interp","201301.1","F",44.1282,-37.788319992068,"Travel",981.8063,"mid",5.508568,2.325204,"201301.1.845"
0,2,69.3965934295498,1.09565046752216,"201301_Interp","201301.1","F",44.1282,-37.788319992068,"Travel",981.8063,"mid",5.508568,92.325204,"201301.1.845"
0,3,67.9023017344008,0.365376272465787,"201301_Interp","201301.1","F",44.1282,-37.788319992068,"Travel",981.8063,"mid",5.508568,177.674796,"201301.1.845"
0,4,64.5402994522609,-1.27766538957243,"201301_Interp","201301.1","F",44.1282,-37.788319992068,"Travel",981.8063,"mid",5.508568,87.674796,"201301.1.845"
1,1,67.4871995183213,-0.654214337548057,"201301_Interp","201301.1","F",42.4593,-34.4322799903394,"Travel",1384.119,"mid",7.258288,28.07076,"201301.1.880"
0,2,69.3966335198644,1.1710607149007,"201301_Interp","201301.1","F",42.4593,-34.4322799903394,"Travel",1384.119,"mid",7.258288,118.07076,"201301.1.880"
0,3,68.6653477230138,0.472006586754421,"201301_Interp","201301.1","F",42.4593,-34.4322799903394,"Travel",1384.119,"mid",7.258288,151.92924,"201301.1.880"
0,4,67.1371315266922,-0.988852964107033,"201301_Interp","201301.1","F",42.4593,-34.4322799903394,"Travel",1384.119,"mid",7.258288,61.92924,"201301.1.880"
1,1,67.4633721611975,-0.787343199540906,"201301_Interp","201301.1","F",41.87869,-34.3424599902931,"Travel",1414.945,"mid",8.100077,33.26717,"201301.1.888"
0,2,69.4907228583839,0.893785268693509,"201301_Interp","201301.1","F",41.87869,-34.3424599902931,"Travel",1414.945,"mid",8.100077,123.26717,"201301.1.888"
0,3,69.4190501511656,0.834352518026629,"201301_Interp","201301.1","F",41.87869,-34.3424599902931,"Travel",1414.945,"mid",8.100077,146.73283,"201301.1.888"
0,4,67.2783180242941,-0.940794587179256,"201301_Interp","201301.1","F",41.87869,-34.3424599902931,"Travel",1414.945,"mid",8.100077,56.73283,"201301.1.888"
1,1,67.6361088986893,-0.668176053228234,"201301_Interp","201301.1","F",40.69942,-33.7226999899749,"Travel",1524.321,"mid",8.129749,63.03317,"201301.1.906"
0,2,67.2674632819388,-0.953860527981707,"201301_Interp","201301.1","F",40.69942,-33.7226999899749,"Travel",1524.321,"mid",8.129749,153.03317,"201301.1.906"
0,3,69.022132031909,0.405932176513685,"201301_Interp","201301.1","F",40.69942,-33.7226999899749,"Travel",1524.321,"mid",8.129749,116.96683,"201301.1.906"
0,4,70.0675736541401,1.21610440469627,"201301_Interp","201301.1","F",40.69942,-33.7226999899749,"Travel",1524.321,"mid",8.129749,26.96683,"201301.1.906"
1,1,67.3826579841648,-0.688544781779129,"201301_Interp","201301.1","F",40.4365,-33.9937399901138,"Travel",1508.63,"mid",7.357957,60.09627,"201301.1.915"
0,2,67.1195374265009,-0.884989860026272,"201301_Interp","201301.1","F",40.4365,-33.9937399901138,"Travel",1508.63,"mid",7.357957,150.09627,"201301.1.915"
0,3,68.6858651925496,0.284426103872562,"201301_Interp","201301.1","F",40.4365,-33.9937399901138,"Travel",1508.63,"mid",7.357957,119.90373,"201301.1.915"
0,4,70.0315471749328,1.28910853793282,"201301_Interp","201301.1","F",40.4365,-33.9937399901138,"Travel",1508.63,"mid",7.357957,29.90373,"201301.1.915"
1,1,66.9686994630417,-0.790463260938453,"201301_Interp","201301.1","F",39.84767,-35.0290499906477,"Travel",1435.105,"mid",7.479691,31.93051,"201301.1.927"
0,2,68.2096854437558,0.182648915104502,"201301_Interp","201301.1","F",39.84767,-35.0290499906477,"Travel",1435.105,"mid",7.479691,121.93051,"201301.1.927"
0,3,69.6887345081838,1.34243691910071,"201301_Interp","201301.1","F",39.84767,-35.0290499906477,"Travel",1435.105,"mid",7.479691,148.06949,"201301.1.927"
0,4,67.03991171612,-0.734622573266777,"201301_Interp","201301.1","F",39.84767,-35.0290499906477,"Travel",1435.105,"mid",7.479691,58.06949,"201301.1.927"
1,1,66.9653132964518,-0.926108885144488,"201301_Interp","201301.1","F",39.3591,-34.9367999906,"Travel",1467.389,"mid",7.681402,52.30374,"201301.1.933"
0,2,69.1300748669679,0.658756977992822,"201301_Interp","201301.1","F",39.3591,-34.9367999906,"Travel",1467.389,"mid",7.681402,142.30374,"201301.1.933"
0,3,69.6619815508055,1.04817665222877,"201301_Interp","201301.1","F",39.3591,-34.9367999906,"Travel",1467.389,"mid",7.681402,127.69626,"201301.1.933"
0,4,67.1637562880882,-0.780824745077082,"201301_Interp","201301.1","F",39.3591,-34.9367999906,"Travel",1467.389,"mid",7.681402,37.69626,"201301.1.933"
1,1,67.0392322806551,-0.9587754106524,"201301_Interp","201301.1","F",38.80029,-35.0255899906459,"Travel",1487.006,"mid",7.978674,49.99409,"201301.1.940"
0,2,69.1877215863997,0.499451902487101,"201301_Interp","201301.1","F",38.80029,-35.0255899906459,"Travel",1487.006,"mid",7.978674,139.99409,"201301.1.940"
0,3,70.1588645267165,1.15858814149279,"201301_Interp","201301.1","F",38.80029,-35.0255899906459,"Travel",1487.006,"mid",7.978674,130.00591,"201301.1.940"
0,4,67.4215842807748,-0.699264633327483,"201301_Interp","201301.1","F",38.80029,-35.0255899906459,"Travel",1487.006,"mid",7.978674,40.00591,"201301.1.940"
1,1,67.7985654579696,-1.3314776789126,"201301_Interp","201301.1","F",37.4328,-34.7263699904912,"Travel",1586.04,"mid",8.229917,31.65012,"201301.1.954"
0,2,70.099767768353,0.878031103474599,"201301_Interp","201301.1","F",37.4328,-34.7263699904912,"Travel",1586.04,"mid",8.229917,121.65012,"201301.1.954"
0,3,69.8592460227373,0.647093168598013,"201301_Interp","201301.1","F",37.4328,-34.7263699904912,"Travel",1586.04,"mid",8.229917,148.34988,"201301.1.954"
0,4,68.9836159742799,-0.193646593159997,"201301_Interp","201301.1","F",37.4328,-34.7263699904912,"Travel",1586.04,"mid",8.229917,58.34988,"201301.1.954"
1,1,69.7813957156595,0.600329323667092,"201301_Interp","201301.1","F",35.83777,-34.5740499904126,"Travel",1688.531,"in",7.896803,51.11829,"201301.1.1017"
0,2,68.4574745881302,-0.582780831604144,"201301_Interp","201301.1","F",35.83777,-34.5740499904126,"Travel",1688.531,"in",7.896803,141.11829,"201301.1.1017"
0,3,67.8998330366395,-1.08111216634235,"201301_Interp","201301.1","F",35.83777,-34.5740499904126,"Travel",1688.531,"in",7.896803,128.88171,"201301.1.1017"
0,4,70.2997631229888,1.06356367427942,"201301_Interp","201301.1","F",35.83777,-34.5740499904126,"Travel",1688.531,"in",7.896803,38.88171,"201301.1.1017"
1,1,68.2277504611383,-0.823897892813006,"201301_Interp","201301.1","F",36.04258,-34.867179990564,"Travel",1651.382,"in",7.633116,73.00255,"201301.1.1021"
0,2,68.5896007298225,-0.482864917937274,"201301_Interp","201301.1","F",36.04258,-34.867179990564,"Travel",1651.382,"in",7.633116,163.00255,"201301.1.1021"
0,3,70.628721162349,1.43894464645244,"201301_Interp","201301.1","F",36.04258,-34.867179990564,"Travel",1651.382,"in",7.633116,106.99745,"201301.1.1021"
0,4,68.9616901665582,-0.132181835702156,"201301_Interp","201301.1","F",36.04258,-34.867179990564,"Travel",1651.382,"in",7.633116,16.99745,"201301.1.1021"
1,1,68.5792151659957,-0.557522008383751,"201301_Interp","201301.1","F",35.28672,-34.9788399906218,"Travel",1686.223,"in",7.756415,50.09541,"201301.1.1029"
0,2,68.0127043772331,-1.02607197612447,"201301_Interp","201301.1","F",35.28672,-34.9788399906218,"Travel",1686.223,"in",7.756415,140.09541,"201301.1.1029"
0,3,70.7393653174721,1.22909583520621,"201301_Interp","201301.1","F",35.28672,-34.9788399906218,"Travel",1686.223,"in",7.756415,129.90459,"201301.1.1029"
